,0,1,2,3,4,5,Nsats,Hdop,Latitude,Longitude,Altitude,Speed,12,13,14,15
19,4313,365311526,0,4,195574000,2377,27,0.58,18.0756299,73.9830264,681.5,0.019,0,-0.05,0,0
20,4466,365511549,0,4,195574200,2377,27,0.58,18.0756299,73.9830264,681.5,0.044,0,-0.071,0,0
21,4467,365511549,0,4,195574200,2377,27,0.58,18.0756299,73.9830264,681.5,0.044,0,-0.071,0,0
22,4633,365711479,0,4,195574400,2377,27,0.58,18.0756299,73.9830264,681.52,0.041,0,-0.071,0,0
23,4634,365711479,0,4,195574400,2377,27,0.58,18.0756299,73.9830264,681.52,0.041,0,-0.071,0,0
24,4786,365911499,0,4,195574600,2377,27,0.58,18.0756299,73.9830264,681.53,0.015,0,-0.05,0,0
25,4787,365911499,0,4,195574600,2377,27,0.58,18.0756299,73.9830264,681.53,0.015,0,-0.05,0,0
26,4941,366111536,0,4,195574800,2377,27,0.58,18.0756299,73.9830265,681.55,0.02,0,-0.09500001,0,0
27,4942,366111536,0,4,195574800,2377,27,0.58,18.0756299,73.9830265,681.55,0.02,0,-0.09500001,0,0
28,5094,366311597,0,4,195575000,2377,27,0.58,18.0756299,73.9830264,681.55,0.015,0,-0.048,0,0
29,5095,366311597,0,4,195575000,2377,27,0.58,18.0756299,73.9830264,681.55,0.015,0,-0.048,0,0
30,5248,366511557,0,4,195575200,2377,27,0.58,18.0756299,73.9830265,681.58,0.049,0,0.024,0,0
31,5249,366511557,0,4,195575200,2377,27,0.58,18.0756299,73.9830265,681.58,0.049,0,0.024,0,0
32,5412,366711543,0,4,195575400,2377,27,0.58,18.0756299,73.9830266,681.58,0.03,0,-0.007,0,0
33,5413,366711543,0,4,195575400,2377,27,0.58,18.0756299,73.9830266,681.58,0.03,0,-0.007,0,0
34,5565,366911537,0,4,195575600,2377,27,0.58,18.0756299,73.9830266,681.59,0.01,0,-0.044,0,0
35,5566,366911537,0,4,195575600,2377,27,0.58,18.0756299,73.9830266,681.59,0.01,0,-0.044,0,0
