,0,1,2,3,4,5,6,7,8
56,5969.0,367413919.0,0.0003250486,-2.007489,0.0001740134,0.3193194,288.5793,288.6879,3.0
57,6056.0,367513917.0,0.0003250486,-1.969089,0.0001740134,0.3140602,288.5793,288.677,3.0
58,6133.0,367613864.0,0.0003250486,-1.982171,0.0001740134,0.3210831,288.5793,288.6781,3.0
59,6213.0,367713918.0,0.0003250486,-1.974197,0.0001740134,0.3194029,288.5793,288.6949,3.0
60,6286.0,367813873.0,0.0003250486,-1.973889,0.0001740134,0.316058,288.5793,288.6806,3.0
61,6366.0,367913875.0,0.0003250486,-1.982906,0.0001740134,0.3147976,288.5793,288.6793,3.0
62,6439.0,368013866.0,0.0003250486,-1.97795,0.0001740134,0.3235932,288.5793,288.6834,3.0
63,6521.0,368113846.0,0.0003250486,-1.988327,0.0001740134,0.3180012,288.5793,288.6677,3.0
64,6593.0,368213836.0,0.0003250486,-1.975078,0.0001740134,0.3148805,288.5793,288.6629,3.0
65,6674.0,368313872.0,0.0003250486,-1.975916,0.0001740134,0.3272478,288.5793,288.685,3.0
66,6748.0,368413901.0,0.0003250486,-1.975692,0.0001740134,0.3158749,288.5793,288.671,3.0
67,6839.0,368513849.0,0.0003250486,-1.97523,0.0001740134,0.316045,288.5793,288.6629,3.0
68,6915.0,368613922.0,0.0003250486,-1.980642,0.0001740134,0.3139509,288.5793,288.6815,3.0
69,6996.0,368713861.0,0.0003250486,-1.986442,0.0001740134,0.308472,288.5793,288.68,3.0
70,7069.0,368813854.0,0.0003250486,-1.98358,0.0001740134,0.3168119,288.5793,288.6676,3.0
71,7149.0,368913840.0,0.0003250486,-1.992928,0.0001740134,0.3183186,288.5793,288.6779,3.0
72,7221.0,369013857.0,0.0003250486,-1.985349,0.0001740134,0.3100765,288.5793,288.692,3.0
73,7304.0,369113852.0,0.0003250486,-1.992301,0.0001740134,0.3142025,288.5793,288.6711,3.0
74,7376.0,369213890.0,0.0003250486,-1.988944,0.0001740134,0.3117896,288.5793,288.6599,3.0
75,7456.0,369313871.0,0.0003250486,-2.006447,0.0001740134,0.3039058,288.5793,288.6757,3.0
76,7531.0,369413869.0,0.0003250486,-2.004802,0.0001740134,0.3092948,288.5793,288.6674,3.0
77,7619.0,369513873.0,1.006605e-05,-1.998298,-0.001266713,0.3203295,288.5793,288.6599,3.0
78,7695.0,369613988.0,0.01647617,-1.997105,-0.01228233,0.3045615,288.5793,288.6774,3.0
79,7777.0,369713869.0,0.02091539,-1.960352,-0.05728182,0.3147814,288.5793,288.6524,3.0
80,7851.0,369813960.0,0.04147758,-1.803514,-0.08344617,0.2926719,288.5793,288.5645,3.0
81,7931.0,369913873.0,0.05263916,-1.852894,-0.03434559,0.4135707,288.5793,288.7014,3.0
82,8008.0,370013919.0,-0.07438444,-1.94573,-0.09805177,0.3482568,288.5794,288.8876,3.0
83,8090.0,370113954.0,0.002238061,-1.693174,-0.232345,0.2668986,288.5795,288.7992,3.0
84,8166.0,370213930.0,-0.1123544,-1.55405,-0.09869253,0.4833554,288.5794,288.6776,3.0
85,8246.0,370313960.0,-0.1529477,-1.285586,-0.02399104,0.4946218,288.5792,288.7184,3.0
86,8320.0,370413908.0,-0.1898739,-0.8510581,0.0429914,0.5493357,288.579,288.7897,3.0
87,8410.0,370513962.0,-0.3829506,-0.3231429,0.1627654,0.4247521,288.5784,288.7987,3.0
88,8487.0,370613908.0,-0.5054776,0.4463084,0.252804,0.6438149,288.5777,288.8702,3.0
89,8567.0,370713927.0,-0.7086282,1.207223,0.47249,0.9381213,288.5754,289.0027,3.0
90,8640.0,370813943.0,-0.96929,1.978678,0.6586269,1.052935,288.5726,289.1664,3.0
91,8720.0,370913904.0,-1.147561,1.892933,0.8716723,1.274688,288.5687,289.2983,3.0
92,8792.0,371013965.0,-1.411307,1.136749,0.9477339,1.661707,288.567,289.5089,3.0
93,8870.0,371113944.0,-1.719566,0.3287399,1.061101,2.113872,288.5638,289.6745,3.0
94,8935.0,371213944.0,-1.976832,-0.108637,1.270244,1.916603,288.5572,289.9666,3.0
95,9007.0,371313953.0,-2.161654,-0.2406836,1.37344,2.183578,288.5534,290.1783,3.0
96,9073.0,371413871.0,-2.235437,-0.6883882,1.504963,2.222528,288.5484,290.5389,3.0
97,9154.0,371513939.0,-2.447055,-0.8965495,1.623071,2.491789,288.5436,290.8835,3.0
98,9223.0,371613980.0,-2.627318,-0.6418705,1.691704,2.779352,288.5406,291.2463,3.0
