,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
40,4317.0,397870094.0,-2.743541,-0.144694,-0.007659967,-7.337858,-0.003360904,-0.02168463,0.07848672,0.1524744,0.000317175,-0.3858566,-0.3858566,0.0,0.0
41,4385.0,397970063.0,-2.799022,0.1390747,-0.008558928,-7.338985,-0.02489603,-0.02161778,0.01643625,0.001554974,-3.39448e-06,0.6534576,0.6534576,0.0,0.0
42,4455.0,398070094.0,-2.744117,-0.07898057,-0.008047068,-7.334762,0.03709709,-0.0218637,0.05366509,-0.1215428,0.0001493785,0.3373146,0.3373146,0.0,0.0
43,4527.0,398170088.0,-2.760506,-0.01423127,-0.008108711,-7.350686,0.06330775,-0.02196775,0.07188889,0.05898722,0.0002638098,0.0213623,0.0213623,0.0,0.0
44,4597.0,398270114.0,-2.752212,-0.05125697,-0.008021088,-7.341331,-0.07552989,-0.02153916,-0.01242333,0.1760987,-9.87543e-05,-0.959301,-0.959301,0.0,0.0
45,4667.0,398370080.0,-2.737829,-0.2479603,-0.007148935,-7.33327,-0.02757574,-0.02170071,0.1061994,-0.3571205,0.0003530009,-0.8743286,-0.8743286,0.0,0.0
46,4737.0,398470123.0,-2.783787,0.1812602,-0.008641897,-7.359152,-0.1234594,-0.02118732,-0.01118639,0.5256462,-3.292929e-05,-0.7480621,-0.7480621,0.0,0.0
47,4810.0,398570123.0,-2.730046,-0.2592814,-0.007159542,-7.3256,-0.09772345,-0.02142567,0.09631911,-0.582013,0.0002570573,0.5090714,0.5090714,0.0,0.0
48,4882.0,398670114.0,-2.780788,0.1865856,-0.008697744,-7.376538,-0.004154366,-0.02167468,-0.01417305,0.5687479,-4.090753e-05,0.600338,0.600338,0.0,0.0
49,4951.0,398770102.0,-2.69336,-0.2103361,-0.007660043,-7.348761,0.05093278,-0.02203387,0.1363899,-0.486496,0.0004696335,-4.920769,-4.920769,0.0,0.0
50,5023.0,398870093.0,-2.822979,0.182182,-0.008612103,-7.353791,-0.002318404,-0.0217486,-0.02685995,0.1529307,-0.0002128825,-5.613422,-5.613422,0.0,0.0
51,5091.0,398970117.0,-2.704853,0.06121746,-0.008680329,-7.364654,0.04109125,-0.02191392,0.1092214,0.1712359,0.0004826146,5.701447,5.701447,0.0,0.0
52,5162.0,399070060.0,-2.768035,-0.1995509,-0.007310777,-7.359348,0.1011045,-0.02229352,0.03455637,-0.1525805,3.62299e-05,0.6109238,0.6109238,0.0,0.0
53,5234.0,399170085.0,-2.772446,0.08157057,-0.008329295,-7.358647,-0.09870404,-0.02142259,0.08175148,-0.393243,0.0001965839,-7.482815,-7.482815,0.0,0.0
54,5303.0,399270213.0,-2.780302,0.2256632,-0.009183777,-7.396749,0.03810917,-0.02189474,-0.001670209,0.5634196,-8.661878e-06,2.694798,2.694798,0.0,0.0
55,5374.0,399370108.0,-2.713787,-0.1381413,-0.007823774,-7.397643,0.05435137,-0.02209389,0.07648061,0.05260855,0.0003053443,-3.528118,-3.528118,0.0,0.0
56,5444.0,399470149.0,-2.713961,-0.3411139,-0.006829895,-7.393766,0.05197646,-0.02211518,0.03567195,0.2166986,0.0001556737,-1.303387,-1.303387,0.0,0.0
57,5514.0,399570110.0,-2.753816,-0.1230263,-0.007181176,-7.36277,-0.0187239,-0.02193601,0.08010544,-0.6500115,0.0001780821,7.362652,7.362652,0.0,0.0
58,5586.0,399670064.0,-2.750626,0.2267571,-0.008701077,-7.367786,-0.04829709,-0.02167188,0.04778338,-0.04375383,0.0001171924,-4.265976,-4.265976,0.0,0.0
59,5656.0,399770156.0,-2.749634,0.4121731,-0.009966109,-7.369114,-0.1003604,-0.02132932,0.03229387,-0.1874284,1.156137e-05,-6.091881,-6.091881,0.0,0.0
60,5727.0,399870084.0,-2.685472,-0.04679702,-0.008304343,-7.390831,0.1377807,-0.02236468,0.008701134,0.470009,3.535186e-05,8.346939,8.346939,0.0,0.0
61,5796.0,399970062.0,-2.663545,-0.4652247,-0.006292598,-7.382556,0.0505052,-0.02205828,0.04506677,0.2167382,0.0001856008,-3.368759,-3.368759,0.0,0.0
62,5867.0,400070164.0,-2.695071,-0.2985236,-0.006583593,-7.360586,0.006469278,-0.0219571,0.05000891,0.2177812,0.0002311718,-5.332565,-5.332565,0.0,0.0
63,5939.0,400170118.0,-2.717516,-0.1274666,-0.00707768,-7.382926,0.002857657,-0.02202043,0.07759619,-0.4343732,0.0001997323,4.577351,4.577351,0.0,0.0
