,0,1,2,3,4,5,6,7,8,9,10
24,3255.0,396370093.0,0.0,0.46,0.0,1.21,260.69,260.68,0.01,0.0,3.0
25,3324.0,396470093.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
26,3396.0,396570138.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
27,3467.0,396670120.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
28,3539.0,396770176.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
29,3611.0,396870096.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
30,3680.0,396970084.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
31,3750.0,397070115.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
32,3822.0,397170132.0,0.0,0.46,0.0,1.22,260.69,260.69,0.01,0.0,3.0
33,3891.0,397270094.0,0.0,0.46,0.0,1.22,260.69,260.67,0.01,0.0,3.0
34,3962.0,397370120.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
35,4032.0,397470162.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
36,4102.0,397570098.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
37,4175.0,397670125.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
38,4244.0,397770082.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
39,4316.0,397870089.0,0.0,0.45,0.0,1.22,260.69,260.67,0.01,0.0,3.0
40,4384.0,397970058.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
41,4454.0,398070089.0,0.0,0.45,0.0,1.22,260.69,260.68,0.01,0.0,3.0
42,4526.0,398170081.0,0.0,0.46,0.0,1.22,260.69,260.67,0.01,0.0,3.0
43,4596.0,398270109.0,0.0,0.45,0.0,1.22,260.69,260.69,0.01,0.0,3.0
44,4666.0,398370074.0,0.0,0.45,0.0,1.22,260.69,260.66,0.01,0.0,3.0
45,4736.0,398470118.0,0.0,0.46,0.0,1.22,260.69,260.69,0.01,0.0,3.0
46,4809.0,398570118.0,0.0,0.45,0.0,1.22,260.69,260.66,0.01,0.0,3.0
47,4881.0,398670091.0,0.0,0.46,0.0,1.22,260.69,260.69,0.01,0.0,3.0
48,4950.0,398770075.0,0.0,0.44,0.0,1.22,260.69,260.65,0.01,0.0,3.0
49,5022.0,398870088.0,0.0,0.47,0.0,1.22,260.69,260.7,0.01,0.0,3.0
50,5090.0,398970113.0,0.0,0.45,0.0,1.22,260.69,260.66,0.01,0.0,3.0
51,5161.0,399070053.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
52,5233.0,399170080.0,0.0,0.46,0.0,1.22,260.69,260.67,0.01,0.0,3.0
53,5302.0,399270208.0,0.0,0.46,0.0,1.23,260.69,260.69,0.01,0.0,3.0
54,5373.0,399370103.0,0.0,0.45,0.0,1.23,260.69,260.67,0.01,0.0,3.0
55,5443.0,399470144.0,0.0,0.45,0.0,1.23,260.69,260.68,0.01,0.0,3.0
56,5513.0,399570105.0,0.0,0.45,0.0,1.22,260.69,260.67,0.01,0.0,3.0
57,5585.0,399670055.0,0.0,0.45,0.0,1.22,260.69,260.68,0.01,0.0,3.0
58,5655.0,399770139.0,0.0,0.45,0.0,1.22,260.69,260.68,0.01,0.0,3.0
59,5726.0,399870079.0,0.0,0.44,0.0,1.23,260.69,260.69,0.01,0.0,3.0
60,5795.0,399970057.0,0.0,0.44,0.0,1.23,260.69,260.68,0.01,0.0,3.0
61,5866.0,400070158.0,0.0,0.44,0.0,1.22,260.69,260.68,0.01,0.0,3.0
62,5938.0,400170113.0,0.0,0.45,0.0,1.23,260.69,260.67,0.01,0.0,3.0
63,6007.0,400270101.0,0.0,0.45,0.0,1.22,260.69,260.68,0.01,0.0,3.0
64,6078.0,400370130.0,0.0,0.44,0.0,1.23,260.69,260.68,0.01,0.0,3.0
65,6147.0,400470065.0,0.0,0.43,0.0,1.23,260.69,260.68,0.01,0.0,3.0
66,6218.0,400570088.0,0.0,0.43,0.0,1.23,260.69,260.68,0.01,0.0,3.0
67,6290.0,400670129.0,0.0,0.44,0.0,1.22,260.69,260.67,0.01,0.0,3.0
68,6359.0,400770132.0,0.0,0.44,0.0,1.22,260.69,260.67,0.01,0.0,3.0
69,6431.0,400870088.0,0.0,0.45,0.0,1.22,260.69,260.67,0.01,0.0,3.0
70,6503.0,400970120.0,0.0,0.45,0.0,1.22,260.69,260.68,0.01,0.0,3.0
71,6573.0,401070170.0,0.0,0.44,0.0,1.23,260.69,260.68,0.01,0.0,3.0
72,6646.0,401170093.0,0.0,0.43,0.0,1.22,260.69,260.68,0.01,0.0,3.0
73,6716.0,401270159.0,0.0,0.44,0.0,1.22,260.69,260.67,0.01,0.0,3.0
74,6787.0,401370126.0,0.0,0.44,0.0,1.22,260.69,260.67,0.01,0.0,3.0
75,6856.0,401470057.0,0.0,0.45,0.0,1.22,260.69,260.67,0.01,0.0,3.0
76,6928.0,401570134.0,0.0,0.44,0.0,1.22,260.69,260.68,0.01,0.0,3.0
77,6999.0,401670112.0,0.0,0.44,0.0,1.22,260.69,260.68,0.01,0.0,3.0
78,7068.0,401770084.0,0.0,0.43,0.0,1.22,260.69,260.68,0.01,0.0,3.0
79,7143.0,401870114.0,0.0,0.44,0.0,1.22,260.69,260.67,0.02,0.0,3.0
80,7212.0,401970117.0,0.0,0.45,0.0,1.22,260.69,260.67,0.02,0.0,3.0
81,7282.0,402070090.0,0.0,0.45,0.0,1.22,260.69,260.67,0.02,0.0,3.0
82,7354.0,402170108.0,0.0,0.44,0.0,1.23,260.69,260.68,0.02,0.0,3.0
83,7423.0,402270093.0,0.0,0.44,0.0,1.23,260.69,260.68,0.02,0.0,3.0
84,7494.0,402370069.0,0.0,0.43,0.0,1.23,260.69,260.68,0.02,0.0,3.0
85,7563.0,402470096.0,0.0,0.44,0.0,1.23,260.69,260.67,0.02,0.0,3.0
86,7634.0,402570090.0,0.0,0.44,0.0,1.23,260.69,260.67,0.02,0.0,3.0
87,7705.0,402670121.0,0.0,0.45,0.0,1.22,260.69,260.67,0.01,0.0,3.0
88,7774.0,402770092.0,0.0,0.44,0.0,1.23,260.69,260.68,0.01,0.0,3.0
